kind,seed,lambda,xi_closed_form,xi_brute_force,abs_difference,grid_step
isotropic,0,0.02,8.217319123550348,8.217319123550348,0.0,9.999999999621423e-06
isotropic,5,5.36539159055945,-3.645892975867605,-3.6458929758676053,4.440892098500626e-16,9.999999999621423e-06
isotropic,11,1.4393713460023037,-1.0525972785490862,-1.0525972785490865,2.220446049250313e-16,1.0000000000065512e-05
isotropic,17,0.38613954577665,0.18977233077016106,0.1897723307701611,2.7755575615628914e-17,1.0000000000065512e-05
isotropic,23,0.10358949358462421,1.5336958094273596,1.5336958094273596,0.0,1.0000000000010001e-05
isotropic,29,0.027789909887462754,4.5521168475202805,4.5521168475202805,0.0,1.0000000000065512e-05
anisotropic,2,10.358949358462416,-4.71045017085847,-4.71045017085847,0.0,9.999999999621423e-06
anisotropic,8,2.7789909887462754,-1.5652686753355283,-1.5652686753355285,2.220446049250313e-16,1.0000000000065512e-05
anisotropic,14,0.7455187440629881,-0.21705975024825006,-0.21705975024825008,2.7755575615628914e-17,1.0000000000065512e-05
anisotropic,20,0.20000000000000004,1.0627413173444162,1.0627413173444162,0.0,9.99999999995449e-06
anisotropic,26,0.053653915905594526,2.9253802632604966,2.9253802632604966,0.0,9.99999999995449e-06
anisotropic,31,20.0,-6.834577111392795,-6.834577111392795,0.0,9.999999999621423e-06
